Index	Name	AppendText	EffectText	IconAtlasID	IconID	ModelId	ArmourID	EffectID	AudioType	CareerShowType	PileAmount	ItemType	ItemSubType	QualityLevel	IsCanStore	IsCanBuy	ShopMoneyType	BuyPrice	IsCanDrop	IsCanSell	SellPrice	IsCanAuction	IsCanStrengthen	AuctionMoneyType	AuctionPrice	ItemLevel	TypeTag	UseType	EquipPos	ConsumeAmount	EffectScriptID	MajorRequire	MajorLevel	CareerExp	CareerRequire	UseLevelLimitLow	UseLevelLimitHigh	UseTarget	IsCanCombine	CombineCostAmount	CombineItemID	BindingType	MagicAttrType_6_0	MagicAttrValue_6_0	MagicAttrType_6_1	MagicAttrValue_6_1	MagicAttrType_6_2	MagicAttrValue_6_2	MagicAttrType_6_3	MagicAttrValue_6_3	MagicAttrType_6_4	MagicAttrValue_6_4	MagicAttrType_6_5	MagicAttrValue_6_5	GemAttrType	GemType	GemAttrValue	RequireEquipUseLevel	BaseAttrType	BaseAttrValue	IsCanExplode	StrengthenLevel	IsRandom	IsRandomAttr	IsNeedRelease	IsContainer	CTItemID_6_0	CTItemNum_6_0	CTItemID_6_1	CTItemNum_6_1	CTItemID_6_2	CTItemNum_6_2	CTItemID_6_3	CTItemNum_6_3	CTItemID_6_4	CTItemNum_6_4	CTItemID_6_5	CTItemNum_6_5	CTMoney_3_0	CTMoney_3_1	CTMoney_3_2	MaterialType	CardID	AddPhy	AddLoyal	AddHealth	SkillID	SpellID	BuffID	PetID	IsPetRandomAttr	MountID	MagicWeaponID	LockLevel	UnLockLevel
10000	勇武战甲	0	0	1180	12000141	0	1	0	0	0	1	2	11	2	0	0	1	523	0	0	131	1	1	0	0	1	1	2	2	0	0	0	0	0	0	0	0	1	0	0	0	2	41	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	76	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10001	勇武护符	0	0	1180	12000190	0	0	0	0	0	1	2	12	2	0	0	1	261	0	0	66	1	1	0	0	1	1	2	3	0	0	0	0	0	0	0	0	1	0	0	0	2	15	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	80	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10002	勇武指环	0	0	1180	12000195	0	0	0	0	0	1	2	13	2	0	0	1	148	0	0	37	1	1	0	0	1	1	2	4	0	0	0	0	0	0	0	0	1	0	0	0	2	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	12	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10003	勇武护腕	0	0	1180	12000440	0	0	0	0	0	1	2	14	2	0	0	1	406	0	0	102	1	1	0	0	1	1	2	5	0	0	0	0	0	0	0	0	1	0	0	0	2	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	12	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10004	勇武战靴	0	0	1180	12000449	0	0	0	0	0	1	2	15	2	0	0	1	313	0	0	79	1	1	0	0	1	1	2	6	0	0	0	0	0	0	0	0	1	0	0	0	2	18	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	16	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10005	勇武大剑	0	0	1160	12000211	101	0	0	0	1	1	1	1	2	0	0	1	678	0	0	170	1	1	0	0	1	1	2	1	0	0	0	0	0	1	0	0	1	0	0	0	2	19	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	38	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10006	勇武法杖	0	0	1160	12000222	102	0	0	0	3	1	1	3	2	0	0	1	678	0	0	170	1	1	0	0	1	1	2	1	0	0	0	0	0	2	0	0	1	0	0	0	2	19	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	38	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10007	勇武长弓	0	0	1160	12000229	103	0	0	0	2	1	1	2	2	0	0	1	678	0	0	170	1	1	0	0	1	1	2	1	0	0	0	0	0	4	0	0	1	0	0	0	2	19	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	38	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10009	百战战甲	0	0	1180	12000142	0	2	0	0	0	1	2	11	2	0	0	1	2366	0	0	592	1	1	0	0	10	1	2	2	0	0	0	0	0	0	10	0	1	0	0	0	2	41	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	136	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10010	百战护符	0	0	1180	12000191	0	0	0	0	0	1	2	12	2	0	0	1	1183	0	0	296	1	1	0	0	10	1	2	3	0	0	0	0	0	0	10	0	1	0	0	0	2	15	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	160	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
