SlotID	State	Price	PageID	PagePrice
1	1	10	1	0
2	1	10	1	0
3	1	10	1	0
4	1	10	1	0
5	1	10	1	0
6	1	10	1	0
7	1	10	1	0
8	1	10	1	0
9	1	10	1	0
10	1	10	1	0
11	1	10	1	0
12	1	10	1	0
13	1	10	1	0
14	1	10	1	0
15	1	10	1	0
16	1	10	1	0
17	1	10	1	0
18	1	10	1	0
19	1	10	1	0
20	1	10	1	0
21	1	10	1	0
22	1	10	1	0
23	1	10	1	0
24	1	10	1	0
25	1	10	1	0
26	1	10	1	0
27	1	10	1	0
28	1	10	1	0
29	1	10	1	0
30	1	10	1	0
31	1	10	1	0
32	1	10	1	0
33	1	10	1	0
34	1	10	1	0
35	1	10	1	0
36	1	10	1	0
37	0	10	2	300
38	0	10	2	300
39	0	10	2	300
40	0	10	2	300
41	0	10	2	300
42	0	10	2	300
43	0	10	2	300
44	0	10	2	300
45	0	10	2	300
46	0	10	2	300
47	0	10	2	300
48	0	10	2	300
49	0	10	2	300
50	0	10	2	300
51	0	10	2	300
52	0	10	2	300
53	0	10	2	300
54	0	10	2	300
55	0	10	2	300
56	0	10	2	300
57	0	10	2	300
58	0	10	2	300
59	0	10	2	300
60	0	10	2	300
61	0	10	2	300
62	0	10	2	300
63	0	10	2	300
64	0	10	2	300
65	0	10	2	300
66	0	10	2	300
67	0	10	2	300
68	0	10	2	300
69	0	10	2	300
70	0	10	2	300
71	0	10	2	300
72	0	10	2	300
73	0	10	3	800
74	0	10	3	800
75	0	10	3	800
76	0	10	3	800
77	0	10	3	800
78	0	10	3	800
79	0	10	3	800
80	0	10	3	800
81	0	10	3	800
82	0	10	3	800
83	0	10	3	800
84	0	10	3	800
85	0	10	3	800
86	0	10	3	800
87	0	10	3	800
88	0	10	3	800
89	0	10	3	800
90	0	10	3	800
91	0	10	3	800
92	0	10	3	800
93	0	10	3	800
94	0	10	3	800
95	0	10	3	800
96	0	10	3	800
97	0	10	3	800
98	0	10	3	800
99	0	10	3	800
100	0	10	3	800
101	0	10	3	800
102	0	10	3	800
103	0	10	3	800
104	0	10	3	800
105	0	10	3	800
106	0	10	3	800
107	0	10	3	800
108	0	10	3	800
