ID	Type	Status	Range	Name	Level	Description	AwardItemID1	AwardItemCount1	AwardItemID2	AwardItemCount2	AwardItemID3	AwardItemCount3	AwardItemID4	AwardItemCount4	AwardMonty	AwardIngot	AwardExp
1	0	0	181,182,183,184,185,202	1~10级	10	0	120105	2	120105	1	120105	1	120105	1	1000	1000	1000
2	0	0	186,187,188,189,190,191	11~20级	20	0	0	0	0	0	0	0	0	0	100	100	100
3	0	0	192,193,194,195,196,197,198,199,200,201	21~30级	30	0	0	0	0	0	0	0	0	0	100	100	100
4	0	0	101,102,103,104,105,106,107,108,109,110	31~40级	40	0	0	0	0	0	0	0	0	0	100	100	100
5	0	0	111,112,113,114,115,116,117,118,119,120	41~50级	50	0	0	0	0	0	0	0	0	0	100	100	100
6	0	0	121,122,123,124,125,126,127,128,129,130	51~60级	60	0	0	0	0	0	0	0	0	0	101	101	101
7	0	0	131,132,133,134,135,136,137,138,139,140	61~70级	70	0	0	0	0	0	0	0	0	0	102	102	102
8	0	0	141,142,143,144,145,146,147,148,149,150	71~80级	80	0	0	0	0	0	0	0	0	0	103	103	103
9	0	0	151,152,153,154,155,156,157,158,159,160	81~90级	90	0	0	0	0	0	0	0	0	0	104	104	104
10	0	0	161,162,163,164,165,166,167,168,169,170	91~100级	100	0	0	0	0	0	0	0	0	0	105	105	105
11	0	0	171,172,173,174,175,176,177	101~110级	110	0	0	0	0	0	0	0	0	0	106	106	106
12	0	0	0,0	111~120级	120	0	0	0	0	0	0	0	0	0	107	107	107
31	1	0	0,0	伙伴!	200	    获得1只宠物	90100	1	90102	2	90104	3	90106	4	200	100	100
32	1	0	0,0	过关斩将	200	    通过9个关卡	90100	2	90102	3	90104	4	0	0	300	100	100
33	1	0	0,0	解救武阳峪	200	    打败百眼魔君	90100	3	90102	4	0	0	0	0	400	100	100
34	1	0	0,0	礼包达人	200	    领取全部在线礼包	90100	4	0	0	0	0	0	0	400	100	100
35	1	0	0,0	10级新人	200	    升级至10	90100	4	0	0	0	0	0	0	400	100	100
36	1	0	0,0	超新星	200	    战斗力达到2000	90100	4	0	0	0	0	0	0	500	100	100
37	1	0	0,0	绝招	200	    学会第1个技能	90100	4	0	0	0	0	0	0	600	100	100
41	1	0	0,0	镶嵌工艺	200	    镶嵌1颗宝石	90100	4	0	0	0	0	0	0	600	100	100
42	1	0	0,0	成功使用1次符印	200	    成功使用1次符印	90100	4	0	0	0	0	0	0	600	100	100
43	1	0	0,0	社团!	200	    加入/建立一个帮派	90100	4	0	0	0	0	0	0	600	100	100
44	1	0	0,0	嗑药!	200	    使用一次内丹	90100	4	0	0	0	0	0	0	600	100	100
45	1	0	0,0	养家糊口	200	    学会一种生产技能	90100	4	0	0	0	0	0	0	600	100	100
46	1	0	0,0	小有盈余	200	    学会二种生产技能	90100	4	0	0	0	0	0	0	600	100	100
47	1	0	0,0	游刃有余	200	    学会第二个绝招	90100	4	0	0	0	0	0	0	600	100	100
51	1	0	0,0	切磋	200	    参与过1次仙道会	90100	4	0	0	0	0	0	0	600	100	100
52	1	0	0,0	江山社稷	200	    挑战1次山河社稷图	90100	4	0	0	0	0	0	0	600	100	100
53	1	0	0,0	壮大队伍	200	    队伍战斗力达到5000	90100	4	0	0	0	0	0	0	600	100	100
54	1	0	0,0	武功进阶	200	    学会第3个绝招	90100	4	0	0	0	0	0	0	600	100	100
55	1	0	0,0	海洋装！	200	    玩家全身蓝色品质以上装备	90100	4	0	0	0	0	0	0	600	100	100
56	1	0	0,0	10连胜	200	    在仙道会中连胜10次	90100	4	0	0	0	0	0	0	600	100	100
57	1	0	0,0	闯荡山河	200	    通过第一张山河社稷图	90100	4	0	0	0	0	0	0	600	100	100
101	1	0	0,0	完成2个任务	40	完成任务数	90100	4	0	0	0	0	0	0	600	100	100
102	1	0	0,0	完成2个主线任务	40	完成主线任务数	90100	4	0	0	0	0	0	0	600	100	100
103	1	0	0,0	完成2个支线任务	40	完成支线任务数	90100	4	0	0	0	0	0	0	600	100	100
104	1	0	0,0	完成2个支线任务	40	完成每日任务数	90100	4	0	0	0	0	0	0	600	100	100
105	1	0	0,0	完成ID为3的任务	40	完成某特定任务	90100	4	0	0	0	0	0	0	600	100	100
106	1	0	0,0	任意难度关卡中杀死15只怪物	40	杀死怪物	90100	4	0	0	0	0	0	0	600	100	100
107	1	0	0,0	普通关卡杀死5只怪物	40	杀死怪物	90100	4	0	0	0	0	0	0	600	100	100
108	1	0	0,0	困难关卡杀死5只怪物	40	杀死怪物	90100	4	0	0	0	0	0	0	600	100	100
109	1	0	0,0	极难关卡杀死5只怪物	40	杀死怪物	90100	4	0	0	0	0	0	0	600	100	100
110	1	0	0,0	杀死任意难度熊怪	40	杀死特定怪物	90100	4	0	0	0	0	0	0	600	100	100
111	1	0	0,0	杀死普通难度熊怪	50	杀死特定怪物	90100	4	0	0	0	0	0	0	600	100	100
112	1	0	0,0	杀死困难难度熊怪	50	杀死特定怪物	90100	4	0	0	0	0	0	0	600	100	100
113	1	0	0,0	杀死极难难度熊怪	50	杀死特定怪物	90100	4	0	0	0	0	0	0	600	100	100
114	1	0	0,0	通过难度普通的关卡ID1	50	通过关卡	90100	4	0	0	0	0	0	0	600	100	100
115	1	0	0,0	通过难度极难的关卡ID1	50	通过关卡	90100	4	0	0	0	0	0	0	600	100	100
116	1	0	0,0	通过关卡累计的星数	50	通过关卡累计获得星数	90100	4	0	0	0	0	0	0	600	100	100
117	1	0	0,0	通过南风村关卡共获得20颗星	50	通过某张地图获得通关关卡星数	90100	4	0	0	0	0	0	0	600	100	100
118	1	0	0,0	学会第一个绝招2级	50	学会星图技能等级	90100	4	0	0	0	0	0	0	600	100	100
119	1	0	0,0	玩家升至30级	50	玩家升级	90100	4	0	0	0	0	0	0	600	100	100
120	1	0	0,0	获得一件紫色装备	50	获得品质装备	90100	4	0	0	0	0	0	0	600	100	100
121	1	0	0,0	装备一件紫色装备	60	装备装备的品质	90100	4	0	0	0	0	0	0	600	100	100
122	1	0	0,0	获得一套紫色装备	60	装备装备的品质	90100	4	0	0	0	0	0	0	600	100	100
123	1	0	0,0	镶嵌过5次宝石	60	镶嵌宝石次数	90100	4	0	0	0	0	0	0	600	100	100
124	1	0	0,0	武器上镶嵌1颗3级宝石	60	镶嵌宝石部位	90100	4	0	0	0	0	0	0	600	100	100
125	1	0	0,0	全身装备+3强化装备	60	全身装备了强化X等级装备	90100	4	0	0	0	0	0	0	600	100	100
126	1	0	0,0	获得了2个坐骑	60	获得坐骑	90100	4	0	0	0	0	0	0	600	100	100
127	1	0	0,0	获得坐骑ID为1的坐骑	60	获得指定坐骑	90100	4	0	0	0	0	0	0	600	100	100
128	1	0	0,0	获得南山大王	60	获得宠物	90100	4	0	0	0	0	0	0	600	100	100
129	1	0	0,0	获得了3个宠物	60	获得宠物数量	90100	4	0	0	0	0	0	0	600	100	100
130	1	0	0,0	将一只宠物练到10级	60	宠物升级	90100	4	0	0	0	0	0	0	600	100	100
131	1	0	0,0	获得了10000铜钱	70	获得铜钱	90100	4	0	0	0	0	0	0	600	100	100
132	1	0	0,0	获得了10000元宝	70	获得元宝	90100	4	0	0	0	0	0	0	600	100	100
133	1	0	0,0	获得了1000铜钱	70	通过拍卖行(市集系统)获得元宝	90100	4	0	0	0	0	0	0	600	100	100
134	1	0	0,0	分解了10件装备	70	分解装备数量	90100	4	0	0	0	0	0	0	600	100	100
135	1	0	0,0	鉴定了3件装备	70	鉴定了多少装备	90100	4	0	0	0	0	0	0	600	100	100
136	1	0	0,0	获得了3个称号	70	获得称号数量	90100	4	0	0	0	0	0	0	600	100	100
137	1	0	0,0	获得ID为1的称号	70	获得了某个称号	90100	4	0	0	0	0	0	0	600	100	100
138	1	0	0,0	开启了10个背包格子	70	开启背包格子	90100	4	0	0	0	0	0	0	600	100	100
139	1	0	0,0	开启了10个仓库格子	70	开启仓库	90100	4	0	0	0	0	0	0	600	100	100
140	1	0	0,0	使用元宝化灵3次	70	元宝化灵次数	90100	4	0	0	0	0	0	0	600	100	100
141	1	0	0,0	进食3次	80	进食次数	90100	4	0	0	0	0	0	0	600	100	100
142	1	0	0,0	使用酒水3次	80	使用酒水次数	90100	4	0	0	0	0	0	0	600	100	100
143	1	0	0,0	领取完所有礼包	80	领取完所有在线礼包	90100	4	0	0	0	0	0	0	600	100	100
144	1	0	0,0	通过第一张山河社稷图	80	通过山河社稷图大关	90100	4	0	0	0	0	0	0	600	100	100
145	1	0	0,0	通过山河社稷图多少关	80	通过山河社稷图多少小关	90100	4	0	0	0	0	0	0	600	100	100
146	1	0	0,0	个人战斗力达到2000	80	个人战斗力	90100	4	0	0	0	0	0	0	600	100	100
147	1	0	0,0	参与3次竞技场挑战	80	在竞技场（仙道会）挑战多少次	90100	4	0	0	0	0	0	0	600	100	100
148	1	0	0,0	在竞技场内连胜10次	80	在竞技场（仙道会）内连胜次数 	90100	4	0	0	0	0	0	0	600	100	100
149	1	0	0,0	对某一个玩家连续攻击胜利次数	80	在竞技场内对同一个玩家连胜次数	90100	4	0	0	0	0	0	0	600	100	100
150	1	0	0,0	学会2种专业	80	学会了多少种专业	90100	4	0	0	0	0	0	0	600	100	100
151	1	0	0,0	将摘采专业升级为大师级	90	专业升级	90100	4	0	0	0	0	0	0	600	100	100
152	1	0	0,0	将2个专业都升级为大师级	90	多项专业升级至	90100	4	0	0	0	0	0	0	600	100	100
153	1	0	0,0	对采集物ID1采集3次	90	对同一个采集物成功采集次数	90100	4	0	0	0	0	0	0	600	100	100
154	1	0	0,0	中秋节登陆	90	时间区间内登入服务器	90100	4	0	0	0	0	0	0	600	100	100
155	1	0	0,0	连续在线10分钟	90	连续在线时间	90100	4	0	0	0	0	0	0	600	100	100
156	1	0	0,0	在线半小时	90	在线时间	90100	4	0	0	0	0	0	0	600	100	100
157	1	0	0,0	开启强化系统	90	开启强化系统	90100	4	0	0	0	0	0	0	600	100	100
